,Open,High,Low,Close,Adj Close,Volume
2022-03-29 12:00:00+00:00,47872.1328125,48014.921875,47843.13671875,47843.13671875,47843.13671875,1019412480
2022-03-29 13:00:00+00:00,47843.984375,47865.53515625,47605.44140625,47687.89453125,47687.89453125,0
2022-03-29 14:00:00+00:00,47688.6875,47815.203125,47643.08984375,47808.23828125,47808.23828125,0
2022-03-29 15:00:00+00:00,47794.0546875,47938.2109375,47491.109375,47513.6015625,47513.6015625,0
2022-03-29 16:00:00+00:00,47469.55859375,47515.37890625,47150.37890625,47485.94921875,47485.94921875,0
2022-03-29 17:00:00+00:00,47492.6171875,47492.6171875,47214.4609375,47449.0703125,47449.0703125,590944256
2022-03-29 18:00:00+00:00,47450.03515625,47563.52734375,47450.03515625,47537.15625,47537.15625,0
2022-03-29 19:00:00+00:00,47542.171875,47802.15234375,47528.1953125,47691.63671875,47691.63671875,0
2022-03-29 20:00:00+00:00,47689.4921875,47709.30859375,47411.28125,47416.734375,47416.734375,0
2022-03-29 21:00:00+00:00,47478.55078125,47514.48828125,47257.91796875,47320.80859375,47320.80859375,0
2022-03-29 22:00:00+00:00,47312.59375,47341.15234375,47131.22265625,47340.85546875,47340.85546875,762798080
2022-03-29 23:00:00+00:00,47346.39453125,47489.78515625,47330.0703125,47469.4921875,47469.4921875,0
2022-03-30 00:00:00+00:00,47442.734375,47442.734375,47165.7109375,47232.1328125,47232.1328125,0
2022-03-30 01:00:00+00:00,47239.22265625,47239.22265625,46752.046875,46831.94921875,46831.94921875,1192452096
2022-03-30 02:00:00+00:00,46827.36328125,47260.25,46827.36328125,47240.02734375,47240.02734375,660545536
2022-03-30 03:00:00+00:00,47240.07421875,47430.72265625,47213.4609375,47418.1875,47418.1875,386723840
2022-03-30 04:00:00+00:00,47418.14453125,47424.4453125,47202.5625,47245.75390625,47245.75390625,0
2022-03-30 05:00:00+00:00,47238.35546875,47466.1015625,47224.09375,47447.60546875,47447.60546875,267900928
2022-03-30 06:00:00+00:00,47469.34375,47558.07421875,47381.203125,47427.81640625,47427.81640625,0
2022-03-30 07:00:00+00:00,47405.97265625,47511.76953125,47390.68359375,47447.21484375,47447.21484375,43192320
2022-03-30 08:00:00+00:00,47441.046875,47463.10546875,47245.66796875,47442.046875,47442.046875,476129280
2022-03-30 09:00:00+00:00,47445.42578125,47445.42578125,47232.859375,47268.89453125,47268.89453125,0
2022-03-30 10:00:00+00:00,47272.01953125,47324.91015625,47245.08203125,47280.52734375,47280.52734375,91107328
